state,pc_no,constituency,polling_stations,male_voters,female_voters,tg_voters,total_voters_group1,Unnamed: 8,male_votes_polled,female_votes_polled,tg_votes_polled,total_votes_polled,nri_votes,Unnamed: 14,total_voters,turnout_overall_reported,Male.2,Female.2,TG.2,constituency_normalized,state_normalized,postal_votes,turnout_overall,turnout_male,turnout_female,turnout_postal,year,Unnamed: 9,TOTAL VOTERS,tg_voters_dup1
Uttar Pradesh,14.0,Bulandshahr,,549613.0,459467.0,15.0,1009095.0,,59.2543997723029,57.1546745183798,13.6363636363636,1010198.0,0.0,,1736436.0,58.1765178791502,,,,bulandshahr,uttar pradesh,0,58.17651787915017,0.010781113214626091,0.012439342655376731,0.0,2014,1103.0,,
Uttar Pradesh,15.0,Aligarh,,596880.0,467715.0,2.0,1064597.0,,61.9327526186635,56.6276569469264,1.65289256198347,1064697.0,0.0,,1793126.0,59.376585917554,,,,aligarh,uttar pradesh,0,59.37658591755404,0.010376081057945232,0.012107299733155105,0.0,2014,100.0,,
Uttar Pradesh,16.0,Hathras,,596865.0,452373.0,2.0,1049240.0,,61.7034627917363,57.4100724902534,2.12765957446809,1049289.0,0.0,,1758927.0,59.6550624329492,,,,hathras,uttar pradesh,0,59.65506243294918,0.010337926129315054,0.012690870695256656,0.0,2014,49.0,,
Uttar Pradesh,17.0,Mathura,,619776.0,457879.0,1.0,1077656.0,,66.8567378732521,61.1754127425451,0.574712643678161,1078331.0,0.0,,1682260.0,64.1001390985936,,,,mathura,uttar pradesh,0,64.10013909859356,0.010787242144460595,0.01336060678531776,0.0,2014,675.0,,
West Bengal,1.0,Cooch Behar,,687125.0,642008.0,0.0,1329133.0,,81.0749742188366,84.0003558849236,0.0,1332968.0,0.0,,1613403.0,82.6184158576623,,,,cooch behar,west bengal,0,82.61841585766234,0.01179915942788235,0.013084004542766382,0.0,2014,3835.0,,
West Bengal,10.0,Baharampur,,584203.0,569867.0,0.0,1154070.0,,77.9982509896595,81.5174073131028,0.0,1154702.0,0.0,,1453783.0,79.4273973488478,,,,baharampur,west bengal,0,79.42739734884779,0.01335122397345777,0.014304637277312566,0.0,2014,632.0,,
West Bengal,11.0,Murshidabad,,653122.0,635049.0,0.0,1288171.0,,83.585493395036,87.0676772136106,0.0,1288578.0,0.0,,1512098.0,85.2178893166977,,,,murshidabad,west bengal,0,85.21788931669772,0.012797837677346038,0.013710387263598649,0.0,2014,407.0,,
West Bengal,12.0,Krish0Agar,,638727.0,607902.0,0.0,1246629.0,,83.3085952784662,86.1789493829698,0.0,1248695.0,0.0,,1476783.0,84.5550768122331,,,,krish0agar,west bengal,0,84.55507681223308,0.013042911177774886,0.014176454327008267,0.0,2014,2066.0,,
West Bengal,13.0,Ranaghat,,691141.0,658049.0,0.0,1349190.0,,83.4209617886826,85.45125420894,0.0,1353623.0,0.0,,1602849.0,84.4510618280325,,,,ranaghat,west bengal,0,84.45106182803246,0.012070035172082485,0.01298554578898228,0.0,2014,4433.0,,
West Bengal,14.0,Bangaon,,653011.0,627517.0,0.0,1280528.0,,82.3615548287905,84.5312649441166,0.0,1284297.0,0.0,,1540713.0,83.3573157362857,,,,bangaon,west bengal,0,83.35731573628573,0.012612583069625245,0.01347075297467903,0.0,2014,3769.0,,
West Bengal,15.0,Barrackpore,,567286.0,481436.0,0.0,1048722.0,,83.3759801291897,79.7225980271209,0.0,1052600.0,0.0,,1287222.0,81.7729964217517,,,,barrackpore,west bengal,0,81.77299642175166,0.01469734492463937,0.016559334579699252,0.0,2014,3878.0,,
West Bengal,16.0,Dum Dum,,590114.0,539290.0,0.0,1129404.0,,82.5662221078023,78.168506769753,0.0,1133801.0,0.0,,1405981.0,80.6412746687189,,,,dum dum,west bengal,0,80.64127466871885,0.013991571477342058,0.014494707257644866,0.0,2014,4397.0,,
West Bengal,17.0,Barasat,,669359.0,596363.0,24.0,1265746.0,,86.6413483431125,80.8589422874847,100.0,1270164.0,0.0,,1512792.0,83.961575682579,,,,barasat,west bengal,0,83.96157568257897,0.012943928197441508,0.013558678571186459,0.0,2014,4418.0,,
Chhattisgarh,1.0,Sarguja,,610812.0,576493.0,0.0,1187305.0,,79.22807327026,76.6781275146808,0.0,1187329.0,0.0,,1523022.0,77.9587556844222,,,,sarguja,chhattisgarh,0,77.95875568442216,0.01297094249462355,0.013300790732009028,0.0,2014,24.0,,
Chhattisgarh,10.0,Bastar,,386189.0,383710.0,0.0,769899.0,,61.0335219810699,57.6801951785604,0.0,769972.0,0.0,,1298083.0,59.3160837943336,,,,bastar,chhattisgarh,0,59.31608379433364,0.015804055004433038,0.015032236631456152,0.0,2014,73.0,,
Chhattisgarh,11.0,Kanker,,515715.0,500911.0,0.0,1016626.0,,71.4350025487024,69.0748802696192,0.0,1017080.0,0.0,,1448375.0,70.2221455078968,,,,kanker,chhattisgarh,0,70.22214550789678,0.013851643358968112,0.013789850945501137,0.0,2014,454.0,,
Jharkhand,1.0,Rajmahal,,490824.0,460471.0,0.0,951295.0,,71.022130386088,69.5651188648916,0.0,951755.0,0.0,,1353467.0,70.3197787607677,,,,rajmahal,jharkhand,0,70.31977876076772,0.01446997913429009,0.015107383280356766,0.0,2014,460.0,,
Jharkhand,10.0,Singhbhum,,403571.0,391653.0,0.0,795224.0,,69.2539224115001,68.818989783977,0.0,795352.0,0.0,,1152632.0,69.0031163458936,,,,singhbhum,jharkhand,0,69.00311634589357,0.01716028218368022,0.01757141903265825,0.0,2014,128.0,,
Jharkhand,11.0,Khunti,,373314.0,364162.0,0.0,737476.0,,66.0960862598596,66.682780606873,0.0,737611.0,0.0,,1111856.0,66.3405153185305,,,,khunti,jharkhand,0,66.34051531853046,0.017705225697364577,0.018311295688971666,0.0,2014,135.0,,
Jharkhand,12.0,Lohardaga,,333825.0,317508.0,0.0,651333.0,,57.8848804848233,58.8498708115702,0.0,651639.0,0.0,,1119144.0,58.2265552958333,,,,lohardaga,jharkhand,0,58.22655529583325,0.017339887810925873,0.018534925359855563,0.0,2014,306.0,,
